"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Lollo",2012,38,"38_2","38_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"circ_leu",0,NA,6,0.595,0.026832816,"38_2"
"Margolis ",2016,40,"40_1","40_1_1","R","Sprague_Dawley_rat","M",12,16,"ad_lib",10.1,72,17.9,0.537,1.02,0.61,2.167,18.9,"circ_leu",0,NA,10,154,11.4,"40_1"
"Margolis ",2016,40,"40_1","40_1_2","R","Sprague_Dawley_rat","M",12,16,"ad_lib",33.8,44.96,21.21,1.99,3.62,2.26,7.87,19.3,"circ_leu",0,NA,10,166.7,19.8,"40_1"
"Nakagawa",1977,45,"45_1","45_1_1","R","unk_rat","F",NA,2,"pair_fed",14.45,65.9,19.64,0.41,0.75,0.55,1.71,17.4,"circ_leu",12,NA,3,1.71,NA,"45_1"
"Nakagawa",1977,45,"45_1","45_1_2","R","unk_rat","F",NA,2,"pair_fed",17.8,63.3,18.9,0.4,10.12,0.52,11.04,18.1,"circ_leu",12,NA,3,5.3,NA,"45_1"
"Nakagawa",1977,45,"45_3","45_3_1","R","unk_rat","F",NA,3,"pair_fed",14.45,65.9,19.64,0.41,0.75,0.55,1.71,17.4,"circ_leu",12,NA,6,1.45,NA,"45_3"
"Nakagawa",1977,45,"45_3","45_3_2","R","unk_rat","F",NA,3,"pair_fed",17.8,63.3,18.9,0.4,10.12,0.52,11.04,18.1,"circ_leu",12,NA,6,6.56,NA,"45_3"
"Nassl",2011,46,"46_1","46_1_1","M","C57Bl6_mouse",NA,NA,0.714286,"ad_lib",23,66,11,1.01,1.91,1.31,4.23,18,"circ_leu",0,NA,10,234.63,81.49,"46_1"
"Nassl",2011,46,"46_1","46_1_2","M","C57Bl6_mouse",NA,NA,0.714286,"ad_lib",48,32,20,2.11,3.98,2.76,8.85,20.3,"circ_leu",0,NA,10,308.5,97.64,"46_1"
"Nassl",2011,46,"46_2","46_2_1","M","C57Bl6_mouse",NA,NA,2.571429,"ad_lib",23,66,11,1.01,1.91,1.31,4.23,18,"circ_leu",0,NA,3,213.33,51.25,"46_2"
