"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Caraballo ",2014,16,"16_1","16_1_3","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,57,8,1.65,3,2.19,6.84,15.9,"plas_ins",0,NA,12,107.2,56.05095896,"16_1"
"Caraballo ",2014,16,"16_1","16_1_4","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,24,42,1.65,3,2.19,6.84,19.3,"plas_ins",0,NA,12,129.6,94.52380653,"16_1"
"Da Silva",2012,20,"20_1","20_1_1","R","Wistar_rat","M",3,12.857143,"ad_lib",5.95,78,16.05,0.28,0.51,0.37,1.16,16.5,"plas_ins",6,NA,14,0.9,0.360555128,"20_1"
"Da Silva",2012,20,"20_1","20_1_2","R","Wistar_rat","M",3,12.857143,"ad_lib",17.27,66.2,16.5,0.82,1.48,1.08,3.38,16.1,"plas_ins",6,NA,14,1.1,0.721110255,"20_1"
"Exteberria ",2015,22,"22_1","22_1_1","R","Wistar_rat","M",NA,5.285714,"ad_lib",20,35,45,0.94,1.7,1.25,3.89,17.1,"plas_ins",0,NA,10,1.279,0.519,"22_1"
"Exteberria ",2015,22,"22_1","22_1_2","R","Wistar_rat","M",NA,5.285714,"ad_lib",20.856,34.4,44.6,0.94,2.546,1.25,4.736,17.2,"plas_ins",0,NA,10,0.921,0.474,"22_1"
"Filiputti ",2010,23,"23_1","23_1_1","R","Wistar_rat","M",3,12,"ad_lib",6.15,77.8,16.02,0.29,0.53,0.38,1.2,16.6,"plas_ins",12,NA,10,0.11,0.9,"23_1"
"Filiputti ",2010,23,"23_1","23_1_2","R","Wistar_rat","M",3,12,"ad_lib",17.79,65.8,16.4,0.84,1.52,1.11,3.47,16.1,"plas_ins",12,NA,10,0.15,0.06,"23_1"
"French",2017,24,"24_1","24_1_1","R","Zucker_Lean_rat","M",12,12,"ad_lib",21.6,65.4,13,1.01,1.82,1.33,4.16,15.9,"plas_ins",8,NA,8,1.788,1.878483431,"24_1"
"French",2017,24,"24_1","24_1_2","R","Zucker_Lean_rat","M",12,12,"ad_lib",42.6,44.3,13.1,2.01,3.65,2.67,8.33,15.9,"plas_ins",8,NA,10,2.275,5.091,"24_1"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,7,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"plas_ins",3,NA,10,269,66,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,7,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"plas_ins",3,NA,10,213,87,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,7,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"plas_ins",3,NA,10,138,54,"25_1"
"Freudenberg",2013,26,"26_1","26_1_1","M","C57Bl6_mouse","M",10,1,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"plas_ins",2,NA,7,1.2,0.881816307,"26_1"
"Freudenberg",2013,26,"26_1","26_1_2","M","C57Bl6_mouse","M",10,1,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"plas_ins",2,NA,7,1.03,0.489897949,"26_1"
"Freudenberg",2013,26,"26_1","26_1_3","M","C57Bl6_mouse","M",10,1,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"plas_ins",2,NA,7,0.75,0.514392846,"26_1"
"Liu",2014,35,"35_1","35_1_1","M","C57Bl6_mouse","M",7,21,"ad_lib",20.8,67.58,11.62,0.98,1.77,1.3,4.05,16.4,"plas_ins",12,NA,9,0.649,0.384666089,"35_1"
"Liu",2014,35,"35_1","35_1_2","M","C57Bl6_mouse","M",7,21,"ad_lib",24.9,64.1,11,0.98,6.67,1.3,8.95,17.2,"plas_ins",12,NA,9,0.363,0.172534055,"35_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"plas_ins",12,NA,10,4.276,0.554,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"plas_ins",12,NA,10,3.15,1.166,"36_1"
