"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Bhargava ",1987,10,"10_1","10_1_2","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",23.98,64.78,11.23,1.13,2.05,1.5,4.68,16,"weight",0,NA,35,462.8426,24.29175,"10_1"
"Bhargava ",1987,10,"10_1","10_1_3","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",23.98,64.78,11.23,1.13,2.05,1.5,4.68,16,"weight",0,NA,35,462.8426,24.29175,"10_1"
"Bhargava ",1987,10,"10_1","10_1_4","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",57.72,32.244,10.033,2.72,4.94,3.61,11.27,16.2,"weight",0,NA,35,460.7596,24.29175,"10_1"
"Adechain ",2009,11,"11_1","11_1_1","R","Wistar_rat","M",NA,5,"ad_lib",15.18,41.46,43.35,0.78,1.46,0.945,3.185,20.1,"weight",0,NA,9,492.9,29.69848,"11_1"
"Adechain ",2009,11,"11_1","11_1_2","R","Wistar_rat","M",NA,5,"ad_lib",18.93,71.68,9.39,0.97,1.82,1.18,3.97,16.2,"weight",0,NA,10,455.2,22.8,"11_1"
"Block ",1990,13,"13_1","13_1_1","R","Wistar_rat","M",NA,1.428571,"meal_fed",9.3,79.5,11.2,0.42,0.77,0.56,1.75,17,"weight",0,NA,15,190,15.82,"13_1"
"Block ",1990,13,"13_1","13_1_2","R","Wistar_rat","M",NA,1.428571,"meal_fed",25,63.8,11.2,1.18,2.14,1.57,4.89,17.7,"weight",0,NA,21,215,10.29,"13_1"
"Block ",1990,13,"13_1","13_1_3","R","Wistar_rat","M",NA,1.428571,"meal_fed",50,38.8,11.2,2.36,4.28,3.13,9.77,17.7,"weight",0,NA,15,209,9.05,"13_1"
"Bruckbauer ",2012,15,"15_1","15_1_1","M","C57Bl6_mouse","M",12,6,"ad_lib",20.2,34.7,45,0.94,1.71,1.25,3.9,17.1,"weight",0,NA,7,40.8,6.123724357,"15_1"
"Bruckbauer ",2012,15,"15_1","15_1_2","M","C57Bl6_mouse","M",12,6,"ad_lib",21.7962,34.1,44.1,0.93,3.69,1.24,5.86,17.4,"weight",0,NA,7,38.3,5.633826408,"15_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"weight",0,NA,12,24,5.14876,"16_1"
"Caraballo ",2014,16,"16_1","16_1_2","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,48,42,0.52,0.94,0.69,2.15,19.3,"weight",0,NA,12,21.3,5.399,"16_1"
"Caraballo ",2014,16,"16_1","16_1_3","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,57,8,1.65,3,2.19,6.84,15.9,"weight",0,NA,12,21.9,5.725,"16_1"
"Caraballo ",2014,16,"16_1","16_1_4","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,24,42,1.65,3,2.19,6.84,19.3,"weight",0,NA,12,21,2.4145,"16_1"
"Chee ",1981,17,"17_1","17_1_1","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,68.3,22.9,0.42,0.75,0.55,1.72,16.36,"weight",0,NA,10,20.2,4.2,"17_1"
"Chee ",1981,17,"17_1","17_1_2","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,4.7,86.5,0.42,0.75,0.55,1.72,16.36,"weight",0,NA,10,22.2,4.2,"17_1"
"Chee ",1981,17,"17_1","17_1_3","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,24,22.9,2.5,4.54,3.32,10.36,16.36,"weight",0,NA,10,20.2,4.2,"17_1"
"Chee ",1981,17,"17_1","17_1_4","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,13.1,33.9,2.5,4.54,3.32,10.36,16.36,"weight",0,NA,10,20.2,4.2,"17_1"
"Chevalier ",1977,18,"18_1","18_1_1","R","Charles_River_rat","M",4.285714286,6,"ad_lib",17,61.8,21.1,0.8,1.46,1.06,3.32,17.97,"weight",0,NA,8,376.5,14.81620734,"18_1"
"Chevalier ",1977,18,"18_1","18_1_2","R","Charles_River_rat","M",4.285714286,6,"ad_lib",22.17,58,19.82,0.75,1.37,1,3.12,19.16,"weight",0,NA,9,426.9,37.90092347,"18_1"
"Colombo ",1992,19,"19_1","19_1_1","R","Wistar_rat","M",NA,2.142857,"ad_lib",9,78,13,0.44,0.9,0.21,1.55,14.9,"weight",0,NA,7,297,15,"19_1"
"Colombo ",1992,19,"19_1","19_1_2","R","Wistar_rat","M",NA,2.142857,"ad_lib",20,67,13,1,2.04,0.46,3.5,14.9,"weight",0,NA,7,292,20,"19_1"
"Colombo ",1992,19,"19_1","19_1_3","R","Wistar_rat","M",NA,2.142857,"ad_lib",37,50,13,1.85,3.77,0.83,6.45,14.9,"weight",0,NA,7,290,14,"19_1"
"Colombo ",1992,19,"19_1","19_1_4","R","Wistar_rat","M",NA,2.142857,"ad_lib",58,29,13,2.91,5.9,1.3,10.11,14.9,"weight",0,NA,7,262,25,"19_1"
"Da Silva",2012,20,"20_1","20_1_1","R","Wistar_rat","M",3,12.857143,"ad_lib",5.95,78,16.05,0.28,0.51,0.37,1.16,16.5,"weight",0,NA,11,299.5,37.31487639,"20_1"
"Da Silva",2012,20,"20_1","20_1_2","R","Wistar_rat","M",3,12.857143,"ad_lib",17.27,66.2,16.5,0.82,1.48,1.08,3.38,16.1,"weight",0,NA,12,466.4,30.51294807,"20_1"
"dos Santos",2017,21,"21_1","21_1_1","R","Wistar_rat","M",12,6,"ad_lib",15.16,69.34,15.5,0.72,1.6,0.95,3.27,17.2,"weight",0,NA,6,427.4,31.1,"21_1"
"dos Santos",2017,21,"21_1","21_1_2","R","Wistar_rat","M",12,6,"ad_lib",15.53,69.04,15.43,0.72,4.55,0.95,6.22,17.1,"weight",0,NA,6,453.2,30.8,"21_1"
"Exteberria ",2015,22,"22_1","22_1_1","R","Wistar_rat","M",NA,5.285714,"ad_lib",20,35,45,0.94,1.7,1.25,3.89,17.1,"weight",0,NA,10,506.8,28.1,"22_1"
"Exteberria ",2015,22,"22_1","22_1_2","R","Wistar_rat","M",NA,5.285714,"ad_lib",20.856,34.4,44.6,0.94,2.546,1.25,4.736,17.2,"weight",0,NA,10,487.5,23.2,"22_1"
"Filiputti ",2010,23,"23_1","23_1_1","R","Wistar_rat","M",3,12,"ad_lib",6.15,77.8,16.02,0.29,0.53,0.38,1.2,16.6,"weight",0,NA,10,224.7,63,"23_1"
